# You can put comments in this file by starting a line with a hash (#)
# The first line of this file is the recipes of the game
1;2;
# The second line is the duration of the game in seconds
120
# The following lines are the matix of the game
1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;
1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;
4 1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;
1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;
4 3;0;0;10;0;0;0;0;1;0;1;0;0;0;10;0;0;0;0;1;
1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;5 1;
4 4;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5 1;
4 6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
1;1;1;6;1;1;1;3;3;3;3;1;1;1;5;1;1;5;1;1;
